GlobalEventID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1_private_code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2_private_code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,Action_private_code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
952343151,20200920,202009,2020,2020.7123,,,,,,,,,,,PAK,PAKISTAN,PAK,,,,,,,,1,130,130,13,3,-4.4,2,1,2,-7.58928571428572,0,,,,,,,,4,"Lahore, Punjab, Pakistan",PK,PK04,23677,31.5497,74.3436,-2767043,4,"Lahore, Punjab, Pakistan",PK,PK04,23677,31.5497,74.3436,-2767043,20201020081500,https://tribune.com.pk/story/2269104/lahore-police-fail-to-eliminate-kite-flying
952343152,20200920,202009,2020,2020.7123,AUSMIL,AUSTRALIAN,AUS,,,,,MIL,,,GOV,FOREIGN MINIST,,,,,,GOV,,,1,46,46,4,1,7.0,3,1,3,4.71464019851117,4,"Malabar, New South Wales, Australia",AS,AS02,5073,-33.9667,151.25,-1585345,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,20201020081500,https://www.firstpost.com/india/australia-to-join-india-us-japan-in-malabar-naval-exercise-in-attempt-to-bolster-peace-in-the-indo-pacific-8931681.html
952343153,20200920,202009,2020,2020.7123,AUSMIL,AUSTRALIAN,AUS,,,,,MIL,,,JPN,TOKYO,JPN,,,,,,,,1,44,44,4,1,2.5,3,1,3,4.71464019851117,4,"Malabar, New South Wales, Australia",AS,AS02,5073,-33.9667,151.25,-1585345,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,20201020081500,https://www.firstpost.com/india/australia-to-join-india-us-japan-in-malabar-naval-exercise-in-attempt-to-bolster-peace-in-the-indo-pacific-8931681.html
952343154,20200920,202009,2020,2020.7123,GOV,FOREIGN MINIST,,,,,,GOV,,,AUSMIL,AUSTRALIAN,AUS,,,,,MIL,,,1,46,46,4,1,7.0,3,1,3,4.71464019851117,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,4,"Malabar, New South Wales, Australia",AS,AS02,5073,-33.9667,151.25,-1585345,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,20201020081500,https://www.firstpost.com/india/australia-to-join-india-us-japan-in-malabar-naval-exercise-in-attempt-to-bolster-peace-in-the-indo-pacific-8931681.html
952343155,20200920,202009,2020,2020.7123,GOV,ADMINISTRATION,,,,,,GOV,,,SDNGOV,SUDAN,SDN,,,,,GOV,,,1,50,50,5,1,3.5,8,1,8,-1.26811594202898,1,United Arab Emirates,AE,AE,,24.0,54.0,AE,1,Bahrain,BA,BA,,26.0,50.5,BA,1,Bahrain,BA,BA,,26.0,50.5,BA,20201020081500,https://www.al-monitor.com/pulse/originals/2020/10/israel-sudan-normalization-terror-list-trump.html
952343156,20200920,202009,2020,2020.7123,GOV,ADMINISTRATION,,,,,,GOV,,,SDNGOV,SUDAN,SDN,,,,,GOV,,,1,50,50,5,1,3.5,2,1,2,-1.26811594202898,1,Israel,IS,IS,,31.5,34.75,IS,1,Uganda,UG,UG,,2.0,33.0,UG,1,Uganda,UG,UG,,2.0,33.0,UG,20201020081500,https://www.al-monitor.com/pulse/originals/2020/10/israel-sudan-normalization-terror-list-trump.html
952343157,20200920,202009,2020,2020.7123,GOV,PRESIDENT,,,,,,GOV,,,USA,CLEVELAND,USA,,,,,,,,0,40,40,4,1,1.0,7,1,7,-2.38970588235294,3,"Cleveland, Ohio, United States",US,USOH,OH035,41.4995,-81.6954,1066654,3,"Cleveland, Ohio, United States",US,USOH,OH035,41.4995,-81.6954,1066654,3,"Cleveland, Ohio, United States",US,USOH,OH035,41.4995,-81.6954,1066654,20201020081500,https://www.nytimes.com/live/2020/10/20/us/trump-biden-election
952343158,20200920,202009,2020,2020.7123,GOV,PRESIDENT,,,,,,GOV,,,USA,CLEVELAND,USA,,,,,,,,0,40,40,4,1,1.0,1,1,1,-2.38970588235294,3,"Cleveland, Ohio, United States",US,USOH,OH035,41.4995,-81.6954,1066654,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20201020081500,https://www.nytimes.com/live/2020/10/20/us/trump-biden-election
952343159,20200920,202009,2020,2020.7123,JPN,TOKYO,JPN,,,,,,,,AUSMIL,AUSTRALIAN,AUS,,,,,MIL,,,1,44,44,4,1,2.5,3,1,3,4.71464019851117,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,4,"Malabar, New South Wales, Australia",AS,AS02,5073,-33.9667,151.25,-1585345,4,"Tokyo, Tokyo, Japan",JA,JA40,36340,35.685,139.751,-246227,20201020081500,https://www.firstpost.com/india/australia-to-join-india-us-japan-in-malabar-naval-exercise-in-attempt-to-bolster-peace-in-the-indo-pacific-8931681.html
952343160,20200920,202009,2020,2020.7123,JUD,ATTORNEY,,,,,,JUD,,,,,,,,,,,,,1,40,40,4,1,1.0,4,1,4,1.77777777777778,3,"Nixonton, North Carolina, United States",US,USNC,NC139,36.2007,-76.2727,1025582,0,,,,,,,,3,"Nixonton, North Carolina, United States",US,USNC,NC139,36.2007,-76.2727,1025582,20201020081500,https://www.dailyadvance.com/news/local/udc-it-does-not-own-confederate-statue/article_22ce8a8f-4c42-5c05-924e-cad98bb52433.html
